제목,내용
"장병규 세뇌시켜 150억 받았다, 딥러닝 전도사 된 '천재소년'[팩플]"," 딥러닝 인공지능(AI)이 갈 수 있는 모든 미지()의 영역을 탐험하는 항해자(Voyager)란 뜻이다. 보이저엑스는... 딥러닝, 보이저엑스의 본능 보이저엑스의 대표 서비스는 영상 편집기 ‘브루’와 모바일 스캐너... "
딥러닝 기반의 제조 품질 관리 솔루션 ‘SaigeVision’, 세이지리서치는 스마트 팩토리 자동화를 위한 첫 단추로 딥러닝 기반의 제조 품질 관리 솔루션 ‘SaigeVision’을 개발했다. ■ 딥러닝 기반의 제품 외관 검사 솔루션 SaigeVision은 기존 룰 기반의 검사 알고리즘으로... 
"딥러닝 창시자 요슈아 벤지오 ""추상적 사고 활용하는 GAN 만든다"""," 딥러닝 창시자이자 인공지능(AI) 연구계 4대 천황 중 하나인 캐나다 몬트리올대 요슈아 벤지오(Joshua Benjio)... 딥러닝 시대 이후 최근 AI 기술 성과 중 벤지오 교수가 주목하는 것은 알파폴드2(2021년), 알파고(2016년), GAN... "
[대한민국 인공지능 기업정보집] 딥러닝 기반 수학 자료 인식 OCR 솔루션 만든...," [편집자 주] 아이텍솔루션은 딥러닝 기반 시각자료 인식 솔루션을 개발한 기업으로, 특히 수학 교육에서... Qn.AI는 아이텍솔루션이 개발한 딥러닝 기반 AI 기술을 바탕으로 독자 개발했다. 스냅샷, 스캔 이미지, PDF 등... "
"김인중이 전하는 딥러닝의 세계<4> 새로운 패러다임,초거대 AI", 초거대 AI모델들이 딥러닝의 새로운 패러다임이 된 이유와 그들의 한계는 무엇인가? 초거대 AI가 출현한 이유 데이터기반 AI들은 작업을 수행하는데 필요한 지식을 데이터로부터 학습한다. 딥러닝 기술의 발전으로 인해... 
딥러닝 AI 비전검사 소프트웨어로 화장품 용기 펌프 튜브 불량검사를 손쉽게!, 인공지능 딥러닝 베이스(Deep Learning based)검사 방식이 있고 이 딥러닝 베이스(Deep Learningbased)의 검사방식에도 지도학습(Supervising)과 비지도학습(Nonsupervising)의 두 가지가 있다 지도학습은 불량 유형별로 시료들을... 
"중앙대 다빈치AI대학원, 딥러닝 기반 군중분석 기술개발", 다중 밀집 공간 인원 규모·이상 행동 탐지[보안뉴스 ] 중앙대 다빈치AI대학원이 딥러닝 기술을 기반으로... 군중분석 기술은 딥러닝을 활용해 사람들을 검출·추적하는 방식으로 작동한다. 일정 시간 동안 가까이 있거나... 
"딥러닝 ADAS 기술 업체 ‘스트라드비젼’, 日 전자기기 박람회 ‘씨텍 2021’...", 스트라드비젼의 깊이 추정 기술은 카메라가 획득한 2차원 이미지를 딥러닝 기술로 분석해 차량 주변... 스트라드비젼 딥러닝 기반 카메라 인식 소프트웨어 ‘SVNet’은 각종 차선과 객체 인식 등 첨단 기술을 활용해... 
"중앙대 AI대학원, 딥러닝 기반 군중분석 기술 개발", 중앙대는 다빈치AI대학원(원장 백준기)이 딥러닝을 기반으로 다중 인원을 검출·추적하는 '군중분석' 기술을... 군중분석 기술은 딥러닝을 활용해 사람들을 검출·추적하는 방식으로 작동한다. 일정 시간 동안 가까이... 
"매스웍스 ""3D 딥러닝으로 자율주행 학습 데이터 만든다""", 김종남 매스웍스코리아 부장은 22일 매스웍스가 진행한 '매트랩 딥러닝 데이 2021'에서 라이다 3D 데이터 관련 딥러닝 기능을 소개했다. 라이다는 목표물에 쏜 레이저 펄스가 반사돼 돌아오는 시간을 통해 물체의 정확한... 
"뷰노-세브란스병원, AI 기반 희귀질환 탐지 소프트웨어 공동개발 MOU", 이번 협약으로 뷰노는 세브란스 심장혈관병원과 함께 딥러닝을 기반으로 심전도(ECG) 데이터를 분석해 희귀질환인 ATTR-CM을 조기에 탐지하는 AI 소프트웨어의 공동연구 및 개발에 착수한다. 앞서 뷰노는 지난... 
"이상 호흡음, 딥러닝으로 가려낸다"," 인공지능 딥러닝(Deep Learning)으로 호흡음을 분석하고 이상 호흡음을 가려내는 기술 개발에 성공했다. 충남대병원 호흡기내과 정재욱 교수 연구팀(김윤주 교수, 정성수 교수)은 전자 청진기로 녹음한 호흡음을 딥러닝... "
"중앙대 AI대학원, 딥러닝 기반 군중분석 기술 개발", 중앙대는 다빈치AI대학원(원장 백준기)이 딥러닝을 기반으로 다중 인원을 검출·추적하는 ‘군중분석’... 군중분석 기술은 딥러닝을 활용해 사람들을 검출·추적하는 방식으로 작동한다. 일정 시간 동안 가까이 있거나... 
"LG전자, '편의성·디자인' 두 토끼 잡은 차세대 워시타워 선봬"," 인공지능 DD모터를 탑재한 워시타워는 딥러닝을 통해 의류 재질을 인식하고, 6모션 중 최적의 모션을 선택해 옷감 손상을 줄인다. 가격은 출하가 기준 스팀 기능이 포함된 모델은 429만원, 스팀 기능이 포함되지 않은... "
'4월 대한민국 엔지니어상'에 신종승·서현석, 대기업 부문 수상자인 서 위원은 세계 최초로 세탁기 동작 알고리즘에 딥러닝 기술을 적용한 AI 세탁기를 개발한 인물이다. 서 위원은 “한국 생활가전이 글로벌 시장을 이끌어갈 수 있도록 노력하겠다”고... 
"양산시, '유동인구 분석·통계 딥러닝 모델' 개발", 지역 청년과 학습데이터 구축 양산시는 컴퓨터가 마치 사람처럼 생각하고 배울 수 있도록 하는 기술인 딥러닝을 적용한 '유동인구 딥러닝 모델'을 개발했다고 밝혔다. 이번에 개발된 모델은 공공·민간에서 일반적으로... 
"""농업통계, 딥러닝·AI로 더 정확하게"" 통계청, 조사기법 '과학화'", 항공우주연구원과 함께 경지면적과 주요 작물의 영상을 자동 분류할 수 있는 '딥러닝 농업면적시스템'을 개발 중이다. 이 시스템이 상용화되면 작물 재배면적의 현장방문 조사를 최소화하면서도 종전보다 정확도 높은 통계... 
국내 최초 생성 AI가 만든 얼굴 기반 대화형 가상인간...남녀 모델 10명 데뷰, 딥브레인AI가 새롭게 선보인 가상인간은 딥러닝 기반의 페이스 스왑(Face Swap) 기술이 적용됐다. 페이스 스왑은 사진 혹은 영상에 있는 얼굴을 인식하여 얼굴 부분을 변환시키는 안면 교체 기술이다. 국내 최초로... 
"중앙대 AI대학원, 딥러닝 기반 군중분석 기술 개발...다중밀집 공간 인원 규모...", 군중분석 기술 동작 사례(사진=중앙대)©열린뉴스통신ONA 중앙대 다빈치AI대학원은 3일 딥러닝을 기반으로... 군중분석 기술은 딥러닝을 활용해 사람들을 검출·추적하는 방식으로 작동한다. 일정 시간 동안 가까이 있거나... 
"LG전자, '편의성·디자인' 두 토끼 잡은 차세대 워시타워 선봬"," 인공지능 DD모터를 탑재한 워시타워는 딥러닝을 통해 의류 재질을 인식하고, 6모션 중 최적의 모션을 선택해 옷감 손상을 줄인다. 가격은 출하가 기준 스팀 기능이 포함된 모델은 429만원, 스팀 기능이 포함되지 않은... "
"뷰노, 세브란스와 희귀심장병 조기진단 AI개발 착수"," 특히 해당 질환은 초기 증상이 부종, 호흡 곤란, 피로, 가슴통증 등 일상에서 흔하고 현재까지 약 120 종류 이상의 유전자 돌연변이가 보고돼 조기 발견 가능성이 낮고 오진율이 높아, 양사는 이번 협약을 통해 딥러닝... "
'4월 대한민국 엔지니어상'에 신종승·서현석, 대기업 부문 수상자인 서 위원은 세계 최초로 세탁기 동작 알고리즘에 딥러닝 기술을 적용한 AI 세탁기를 개발한 인물이다. 서 위원은 “한국 생활가전이 글로벌 시장을 이끌어갈 수 있도록 노력하겠다”고... 
"양산시, '유동인구 분석·통계 딥러닝 모델' 개발", 지역 청년과 학습데이터 구축 양산시는 컴퓨터가 마치 사람처럼 생각하고 배울 수 있도록 하는 기술인 딥러닝을 적용한 '유동인구 딥러닝 모델'을 개발했다고 밝혔다. 이번에 개발된 모델은 공공·민간에서 일반적으로... 
"""농업통계, 딥러닝·AI로 더 정확하게"" 통계청, 조사기법 '과학화'", 항공우주연구원과 함께 경지면적과 주요 작물의 영상을 자동 분류할 수 있는 '딥러닝 농업면적시스템'을 개발 중이다. 이 시스템이 상용화되면 작물 재배면적의 현장방문 조사를 최소화하면서도 종전보다 정확도 높은 통계... 
국내 최초 생성 AI가 만든 얼굴 기반 대화형 가상인간...남녀 모델 10명 데뷰, 딥브레인AI가 새롭게 선보인 가상인간은 딥러닝 기반의 페이스 스왑(Face Swap) 기술이 적용됐다. 페이스 스왑은 사진 혹은 영상에 있는 얼굴을 인식하여 얼굴 부분을 변환시키는 안면 교체 기술이다. 국내 최초로... 
딥러닝 이용 와파린 용량 결정 시스템 개발," 진행한 딥러닝을 이용한 와파린 용량 결정 시스템 개발에 관한 연구 논문이 3대 과학 학술지 중 하나인... networks'이며, 딥러닝을 이용한 와파린 용량 결정 시스템 개발에 관한 내용이다. 와파린은 이미 수십 년... "
머신러닝을 알아야 챗지피티 작동 원리가 보인다," 지난 몇 년 동안 시사상식 용어처럼 사용되고 있는 딥러닝(Deep Learning) 역시 머신러닝의 일종이다. 딥러닝으로 알려진 몇 가지 기법을 도입하면서 머신러닝은 이전에 서툴렀던 일들(이미지나 음성인식, 자연어 처리... "
"전이학습 한계 극복하고, 딥러닝 정확도와 효율성 높인... 뉴로클, 뉴로티·뉴..."," 솔루션 개요 인공지능(AI) 기반 비전 소프트웨어 전문기업 뉴로클(Neurocle, 대표 이홍석)이 다양한 신규 기능이 포함된 딥러닝 딥러닝 비전 소프트웨어 뉴로티·뉴로알(Neuro-T & Neuro-R)의 2.3버전을 9일 출시했다. 특히... "
"전이학습 한계 극복하고, 딥러닝 정확도와 효율성 높인... 뉴로클, 뉴로티·뉴..."," 솔루션 개요 인공지능(AI) 기반 비전 소프트웨어 전문기업 뉴로클(Neurocle, 대표 이홍석)이 다양한 신규 기능이 포함된 딥러닝 딥러닝 비전 소프트웨어 뉴로티·뉴로알(Neuro-T & Neuro-R)의 2.3버전을 9일 출시했다. 특히... "
"뉴로클, 딥러닝 프로젝트 정확도·효율성 높인 뉴로티&뉴로알 2.3버전 출시"," 딥러닝 기반 비전 소프트웨어 전문기업 뉴로클(Neurocle, 대표 이홍석)이 다양한 신규 기능이 포함된 딥러닝 비전 소프트웨어 뉴로티&뉴로알(Neuro-T & Neuro-R)의 2.3버전을 출시했다고 밝혔다. 뉴로티와 뉴로알은... "
"[기업이슈] 스타트업 에이아이비즈, 딥러닝 기반 품질 예측 AI솔루션 개발"," 스타트업 에이아이비즈가 제조공장의 센서 데이터를 활용해 딥러닝 기반의 품질 예측 시스템을 개발했다고 밝혔다. 관계자는 ""에이아이비즈는 반도체 공장에 설치된 센서 데이터 정보를 AI 알고리즘이 자동으로... "
"카이스트, 딥러닝 생성모델의 오류 수정 기술 개발​"," 카이스트 대학 AI대학원 최재식 교수 연구팀이 심층 학습(이하 딥러닝) 생성모델의 오류 수정 기술을 개발했다고 6월 25일 밝혔다. 최근 딥러닝 생성모델(Deep Generative Models)은 이미지, 음성뿐만 아니라 문장 등 새로운... "
"스타트업 에이아이비즈, 딥러닝 기반 품질 예측 AI솔루션 개발", 스타트업 에이아이비즈가 제조공장의 센서 데이터를 활용해 딥러닝 기반의 품질 예측 시스템을 개발했다고 밝혔다. 에이아이비즈는 반도체 공장에 설치된 센서 데이터 정보를 AI 알고리즘이 자동으로 기준값을... 
"계명대 대구동산병원, 최첨단 인공지능기반 MRI도입", 이번에 도입한 마그네톰 루미나 3.0T 자기공명영상 장비(MRI)는 국내 최초 AI 위치 기반 시스템 탑재 및 딥러닝 기술을 적용하여 뇌신경계 검사와 근골격계 및 척추 검사에 소요되는 시간을 기존MRI에 비해 30% 이상... 
"LG전자, 터치로 편리해진 `LG 트롬 워시타워` 신제품 출시", 인공지능 구동형(DD)모터를 탑재한 워시타워는 딥러닝을 이용해 의류 재질을 인식한 후 LG전자만의 세탁·건조방법인 6모션 중 최적의 모션을 선택해 옷감 손상을 최소화한다. 워시타워의 건조준비 기능은 세탁이 끝나면... 
"스타트업 에이아이비즈, 딥러닝 기반 품질 예측 AI솔루션 개발", 스타트업 에이아이비즈가 제조공장의 센서 데이터를 활용해 딥러닝 기반의 품질 예측 시스템을 개발했다고 밝혔다. 에이아이비즈는 반도체 공장에 설치된 센서 데이터 정보를 AI 알고리즘이 자동으로 기준값을... 
"딥러닝 머신비전 ‘아이브’, 50억원 투자 유치", 딥러닝 머신비전 솔루션 전문 스타트업 아이브(http://aiv.ai)가 50억원 규모 시리즈A 투자를 유치했다고 밝혔다. 아이브는 딥러닝 기반의 머신비전 기술을 통해 제조업 제품의 불량품 검출 공정을 자동화하는... 
"""딥러닝 기술 활용 전립선암 중증도 진단 성능 입증""", AI 딥러닝 기술을 활용해 전립선암의 중증도를 진단하는 새로운 시스템이다. 해당 연구는 슬라이드 단위로 이미 존재하는 병원 진단문만을 활용해 고성능의 전립선암 중증도 진단 딥러닝 모델을 학습하는... 
"에이아이비즈, 딥러닝 기반 품질 예측 AI솔루션 개발", 에이아이비즈가 제조공장의 센서 데이터를 활용해 딥러닝 기반의 품질 예측 시스템을 개발했다고 15일 밝혔다. 에이아이비즈는 반도체 공장에 설치된 센서 데이터 정보를 AI 알고리즘이 자동으로 기준값을 설정하고... 
"계명대 대구동산병원, 최첨단 인공지능기반 MRI도입", 이번에 도입한 마그네톰 루미나 3.0T 자기공명영상 장비(MRI)는 국내 최초 AI 위치 기반 시스템 탑재 및 딥러닝 기술을 적용하여 뇌신경계 검사와 근골격계 및 척추 검사에 소요되는 시간을 기존MRI에 비해 30% 이상... 
"LG전자, 터치로 편리해진 `LG 트롬 워시타워` 신제품 출시", 인공지능 구동형(DD)모터를 탑재한 워시타워는 딥러닝을 이용해 의류 재질을 인식한 후 LG전자만의 세탁·건조방법인 6모션 중 최적의 모션을 선택해 옷감 손상을 최소화한다. 워시타워의 건조준비 기능은 세탁이 끝나면... 
"스타트업 에이아이비즈, 딥러닝 기반 품질 예측 AI솔루션 개발", 스타트업 에이아이비즈가 제조공장의 센서 데이터를 활용해 딥러닝 기반의 품질 예측 시스템을 개발했다고 밝혔다. 에이아이비즈는 반도체 공장에 설치된 센서 데이터 정보를 AI 알고리즘이 자동으로 기준값을... 
"딥러닝 머신비전 ‘아이브’, 50억원 투자 유치", 딥러닝 머신비전 솔루션 전문 스타트업 아이브(http://aiv.ai)가 50억원 규모 시리즈A 투자를 유치했다고 밝혔다. 아이브는 딥러닝 기반의 머신비전 기술을 통해 제조업 제품의 불량품 검출 공정을 자동화하는... 
"""딥러닝 기술 활용 전립선암 중증도 진단 성능 입증""", AI 딥러닝 기술을 활용해 전립선암의 중증도를 진단하는 새로운 시스템이다. 해당 연구는 슬라이드 단위로 이미 존재하는 병원 진단문만을 활용해 고성능의 전립선암 중증도 진단 딥러닝 모델을 학습하는... 
‘딥러닝’에서 ‘딥필링’ 시대로," 이번에는 딥러닝 기반의 인공지능 기술의 한계를 지적하며, 미래 핵심 기술로 인간의 복잡한 ‘감정계’에... 여기서 ‘딥러닝’ 단계를 넘어서 ‘딥필링’에 대한 상상력을 동원하며 화두를 꺼낸다. ‘딥필링’이... "
"KAIST, 딥러닝 생성모델의 오류 수정 기술 개발", KAIST(총장 이광형)는 AI(인공지능)대학원 최재식 교수(설명가능 인공지능연구센터장) 연구팀이 심층 학습(이하 딥러닝) 생성모델의 오류 수정 기술을 개발했다고 25일 밝혔다. 최근 딥러닝 생성모델(Deep Generative... 
"위데이터랩, 서울바이오허브 AI 특화교육에 강사진으로 참여", 머신러닝 △파이썬 딥러닝 등의 강의를 제공한다. 권건우 위데이터랩 대표는 “최근 급부상하는 AI 기술을 보건·의료 산업 예제를 기반으로 초보자도 쉽게 익힐 수 있도록 준비했다”면서 “해당 분야의 창업 및... 
"KAIST, 딥러닝 생성모델 오류 수정 기술 개발", 한국과학기술원(KAIST·총장 이광형)은 인공지능(AI)대학원 최재식 교수(설명가능 AI 연구센터장) 연구팀이 심층 학습(딥러닝) 생성모델 오류 수정 기술을 개발했다고 밝혔다. 최근 딥러닝 생성모델(Deep Generative Models)은... 
"위데이터랩, 서울바이오허브 AI 특화교육에 강사진으로 참여", 머신러닝 △파이썬 딥러닝 등의 강의를 제공한다. 권건우 위데이터랩 대표는 “최근 급부상하는 AI 기술을 보건·의료 산업 예제를 기반으로 초보자도 쉽게 익힐 수 있도록 준비했다”면서 “해당 분야의 창업 및... 
"KAIST, 딥러닝 생성모델 오류 수정 기술 개발", 한국과학기술원(KAIST·총장 이광형)은 인공지능(AI)대학원 최재식 교수(설명가능 AI 연구센터장) 연구팀이 심층 학습(딥러닝) 생성모델 오류 수정 기술을 개발했다고 밝혔다. 최근 딥러닝 생성모델(Deep Generative Models)은... 
"국립생물자원관, 딥러닝 기반 거미 독샘 유래 신규 항균 펩타이드 발굴 성공", 국립생물자원관은 최근 동국대 성정석·장원희 교수 연구팀과 함께 새로운 항균 펩타이드(peptide)를 발굴할 수 있는 인공지능 딥러닝(Deep Learning) 기반 예측 모델을 개발했다고 밝혔다. 연구진은 인공지능 기반 예측 연구를... 
"카이스트 최재식 교수팀, 딥러닝 생성모델의 오류 수정 기술 개발"," (이하 딥러닝) 생성모델의 오류 수정 기술을 개발했다고 25일 밝혔다. 최근 딥러닝 생성모델(Deep Generative Models)은 이미지, 음성뿐만 아니라 문장 등 새로운 콘텐츠를 생성하는 데 널리 활용되고 있다. 이런... "
기후 변화 예측 더 정교한 딥러닝 알고리즘 개발...캐나다 워털루대학 연구팀," 기후 변화를 미리 알려주는 더 정교한 딥러닝 알고리즘이 개발됐다. 해당 연구는 새로운 딥러닝(DL) 알고리즘이 티핑포인트(tipping point)가 되는 기후 변화인 지진, 가뭄 등이 일어나기 전 조기 경고 신호(Early... "
[AI 리뷰] 설명가능한 AI로 딥러닝 생성모델 오류 수정한다!... KAIST 인공지...," 이하, XAI)의 선구자이자 최고 권위자인 KAIST 인공지능대학원 최재식 교수(설명가능 인공지능연구센터장) 연구팀이 딥러닝 생성모델의 오류 수정 기술을 개발했다. 최근 딥러닝 생성모델(Deep Generative Models)은... "
"플리어 딥러닝 카메라, 이틀 만에 AI 안면 마스크 감지시스템 개발하고 배치한..."," 플리어 파이어플라이 딥러닝 카메라 시연 이미지 마스크는 COVID-19 확산을 막는 중요한 도구이며, 방역... 플리어(FLIR)는 '플리어 파이어플라이 딥러닝(FLIR Firefly DL)' 카메라를 사용하여 방역 마스크 착용 및 준수... "
"농촌진흥청, 디지털육종 활성화위해 기술 수준별 단계 제안"," 디지털육종은 빅데이터와 심화학습(딥러닝)을 중심으로 한 인공지능(AI) 기술을 적극적으로 활용해 작물을 효율적으로 개발하는 차세대 육종기술로많은 나라에서 연구, 활용하고 있다. 그러나 디지털육종을 구성하는... "
"딥러닝 머신비전 솔루션 기업 ‘아이브’, 50억 원 규모 시리즈A 투자유치", 딥러닝 머신비전 솔루션 전문 스타트업 아이브가 50억원 규모 시리즈A 투자 유치를 했다. 이번 시리즈A... 아이브는 딥러닝 기반의 머신비전 기술을 통해 제조업 제품의 불량품 검출 공정을 자동화하는 제조업용 AI... 
김인중이 전하는 딥러닝의 세계<3> AI의 불완전성에 대하여, 딥러닝 출현 이후 AI가 보여준 우수한 성취는 대중들 사이에 AI가 매우 정확하리라는 기대를 확산시켰다.... 딥러닝을 포함한 데이터 기반 AI는 목표 작업을 수행하기 위해 필요한 지식을 학습 데이터로부터 얻는다. 이러한... 
"KAIST, 딥러닝 생성모델의 오류 수정 기술 개발", KAIST(총장 이광형)는 AI(인공지능)대학원 최재식 교수(설명가능 인공지능연구센터장) 연구팀이 심층 학습(이하 딥러닝) 생성모델의 오류 수정 기술을 개발했다고 25일 밝혔다. 최재식 교수 최근 딥러닝 생성모델... 
"농촌진흥청, 디지털육종 활성화위해 기술 수준별 단계 제안"," 디지털육종은 빅데이터와 심화학습(딥러닝)을 중심으로 한 인공지능(AI) 기술을 적극적으로 활용해 작물을 효율적으로 개발하는 차세대 육종기술로많은 나라에서 연구, 활용하고 있다. 그러나 디지털육종을 구성하는... "
"플리어 딥러닝 카메라, 이틀 만에 AI 안면 마스크 감지시스템 개발하고 배치한..."," 플리어 파이어플라이 딥러닝 카메라 시연 이미지 마스크는 COVID-19 확산을 막는 중요한 도구이며, 방역... 플리어(FLIR)는 '플리어 파이어플라이 딥러닝(FLIR Firefly DL)' 카메라를 사용하여 방역 마스크 착용 및 준수... "
"딥러닝 머신비전 솔루션 기업 ‘아이브’, 50억 원 규모 시리즈A 투자유치", 딥러닝 머신비전 솔루션 전문 스타트업 아이브가 50억원 규모 시리즈A 투자 유치를 했다. 이번 시리즈A... 아이브는 딥러닝 기반의 머신비전 기술을 통해 제조업 제품의 불량품 검출 공정을 자동화하는 제조업용 AI... 
김인중이 전하는 딥러닝의 세계<3> AI의 불완전성에 대하여, 딥러닝 출현 이후 AI가 보여준 우수한 성취는 대중들 사이에 AI가 매우 정확하리라는 기대를 확산시켰다.... 딥러닝을 포함한 데이터 기반 AI는 목표 작업을 수행하기 위해 필요한 지식을 학습 데이터로부터 얻는다. 이러한... 
"뉴로클, 딥러닝 비전 소프트웨어로 2021 비전 시스템 디자인 이노베이터스 어...", 인공지능 딥러닝 분야 스타트업 뉴로클이 딥러닝 비전 소프트웨어(뉴로티)로 2021 비전 시스템 디자인(Vision System Design)에서 주관하는 2021 이노베이터스 어워즈(Innovators Award)에서 은상을 수상했다. 비전 시스템 디자인... 
제조설비 고장 ‘딥러닝’으로 미리 콕 잡아낸다, 한국생산기술연구원은 포항공과대학교와 함께 제조설비의 고장 징후를 딥러닝 기술로 포착하고 그 원인과... 진단해주는 딥러닝 모델을 고안해냈다. 연구팀은 센서가 보내온 기초 시계열 진동신호들을 주파수 변환 작업... 
"KT 광양시 ITS 구축, 안전과 효율 '두 마리 토끼' 잡는다"," KT 로드트윈은 실제 도로와 교통상황을 가상 학습하고 최적화된 신호 주기에 대한 AI 딥러닝 분석으로 교차로의 원활한 차량 흐름을 돕는다. 차로(車路), 과거 사고 이력, 속도, 교통량, 날씨 등 정보를 활용해... "
"'AI 컴퍼니' SK텔레콤, 인재 양성 박차… AI 펠로우십 5기 모집", 성균관대학교 인공지능학과 학생들로 구성된 팀은 딥러닝 기술로 이미지의 시대적 배경과 상황을 고려해 AI가 흑백 이미지에 자동으로 채색하는 기술 개발에 참여했다. SKT는 이 기술을 활용해 문체부가 주관하는... 
"‘돈 되는 꿀잠’에 주목...AI 딥러닝과 결합, 잠자는 슬립테크 시장 깨운다", 구글의 코너 헤네간(Conor Heneghan) 선임연구과학자는 “성별·연령 등 다양한 수면 데이터를 스스로 학습하는 AI 딥러닝(심층학습)을 탑재해 데이터 정확도가 높다”며 “픽셀 워치에 측정된 데이터를 보고 숙면을... 
딥러닝 모델이 만든 시각적 결함 찾아서 수리…신뢰도 높은 결과물 생성, 하나인 딥러닝 생성모델의 오류를 제거할 수 있는 기술이 개발됐다. 많은 시간과 비용을 들여야 하는 딥러닝 생성모델의 결함을 걸러내 결과물의 신뢰도를 높여 다양한 분야에 활용할 수 있게 될 전망이다. KAIST는 최재식... 
"농촌진흥청, 디지털육종 활성화위해 기술 수준별 단계 제안"," 디지털육종은 빅데이터와 심화학습(딥러닝)을 중심으로 한 인공지능(AI) 기술을 적극적으로 활용해 작물을 효율적으로 개발하는 차세대 육종기술로많은 나라에서 연구, 활용하고 있다. 그러나 디지털육종을 구성하는... "
"플리어 딥러닝 카메라, 이틀 만에 AI 안면 마스크 감지시스템 개발하고 배치한..."," 플리어 파이어플라이 딥러닝 카메라 시연 이미지 마스크는 COVID-19 확산을 막는 중요한 도구이며, 방역... 플리어(FLIR)는 '플리어 파이어플라이 딥러닝(FLIR Firefly DL)' 카메라를 사용하여 방역 마스크 착용 및 준수... "
"딥러닝 머신비전 솔루션 기업 ‘아이브’, 50억 원 규모 시리즈A 투자유치", 딥러닝 머신비전 솔루션 전문 스타트업 아이브가 50억원 규모 시리즈A 투자 유치를 했다. 이번 시리즈A... 아이브는 딥러닝 기반의 머신비전 기술을 통해 제조업 제품의 불량품 검출 공정을 자동화하는 제조업용 AI... 
김인중이 전하는 딥러닝의 세계<3> AI의 불완전성에 대하여, 딥러닝 출현 이후 AI가 보여준 우수한 성취는 대중들 사이에 AI가 매우 정확하리라는 기대를 확산시켰다.... 딥러닝을 포함한 데이터 기반 AI는 목표 작업을 수행하기 위해 필요한 지식을 학습 데이터로부터 얻는다. 이러한... 
"뉴로클, 딥러닝 비전 소프트웨어로 2021 비전 시스템 디자인 이노베이터스 어...", 인공지능 딥러닝 분야 스타트업 뉴로클이 딥러닝 비전 소프트웨어(뉴로티)로 2021 비전 시스템 디자인(Vision System Design)에서 주관하는 2021 이노베이터스 어워즈(Innovators Award)에서 은상을 수상했다. 비전 시스템 디자인... 
제조설비 고장 ‘딥러닝’으로 미리 콕 잡아낸다, 한국생산기술연구원은 포항공과대학교와 함께 제조설비의 고장 징후를 딥러닝 기술로 포착하고 그 원인과... 진단해주는 딥러닝 모델을 고안해냈다. 연구팀은 센서가 보내온 기초 시계열 진동신호들을 주파수 변환 작업... 
"KT 광양시 ITS 구축, 안전과 효율 '두 마리 토끼' 잡는다"," KT 로드트윈은 실제 도로와 교통상황을 가상 학습하고 최적화된 신호 주기에 대한 AI 딥러닝 분석으로 교차로의 원활한 차량 흐름을 돕는다. 차로(車路), 과거 사고 이력, 속도, 교통량, 날씨 등 정보를 활용해... "
"'AI 컴퍼니' SK텔레콤, 인재 양성 박차… AI 펠로우십 5기 모집", 성균관대학교 인공지능학과 학생들로 구성된 팀은 딥러닝 기술로 이미지의 시대적 배경과 상황을 고려해 AI가 흑백 이미지에 자동으로 채색하는 기술 개발에 참여했다. SKT는 이 기술을 활용해 문체부가 주관하는... 
"‘돈 되는 꿀잠’에 주목...AI 딥러닝과 결합, 잠자는 슬립테크 시장 깨운다", 구글의 코너 헤네간(Conor Heneghan) 선임연구과학자는 “성별·연령 등 다양한 수면 데이터를 스스로 학습하는 AI 딥러닝(심층학습)을 탑재해 데이터 정확도가 높다”며 “픽셀 워치에 측정된 데이터를 보고 숙면을... 
"KT 광양시 ITS 구축, 안전과 효율 '두 마리 토끼' 잡는다"," KT 로드트윈은 실제 도로와 교통상황을 가상 학습하고 최적화된 신호 주기에 대한 AI 딥러닝 분석으로 교차로의 원활한 차량 흐름을 돕는다. 차로(車路), 과거 사고 이력, 속도, 교통량, 날씨 등 정보를 활용해... "
"'AI 컴퍼니' SK텔레콤, 인재 양성 박차… AI 펠로우십 5기 모집", 성균관대학교 인공지능학과 학생들로 구성된 팀은 딥러닝 기술로 이미지의 시대적 배경과 상황을 고려해 AI가 흑백 이미지에 자동으로 채색하는 기술 개발에 참여했다. SKT는 이 기술을 활용해 문체부가 주관하는... 
"‘돈 되는 꿀잠’에 주목...AI 딥러닝과 결합, 잠자는 슬립테크 시장 깨운다", 구글의 코너 헤네간(Conor Heneghan) 선임연구과학자는 “성별·연령 등 다양한 수면 데이터를 스스로 학습하는 AI 딥러닝(심층학습)을 탑재해 데이터 정확도가 높다”며 “픽셀 워치에 측정된 데이터를 보고 숙면을... 
4월 엔지니어상에 LG전자 서현석·에코프로비엠 신종승, 서 연구위원은 세계 최초로 세탁기 동작 알고리즘에 딥러닝 기술을 활용한 인공지능(AI) 세탁기를 개발했다 또 고용량·고효율 24인치 드럼 세탁기를 개발해 국내 가전제품 수출 경쟁력 향상에 기여한 공로를 인정받았다.... 
"""AI로 더 나은 미래 만든다""...SKT AI 펠로우십 5기 모집", 또한 성균관대학교 인공지능학과 학생들로 구성된 팀은 딥러닝 기술로 이미지의 시대적 배경과 상황을 고려해 AI가 흑백 이미지에 자동으로 채색하는 기술 개발에 참여했다. SKT는 이 기술을 활용해 문체부가... 
